Id,District number,District Name,Neighborhood Number,Neighborhood Name,Street,Weekday,Weekday Number,Year,Month Number,Month,Day,Hour,Part of the Day,Cause,Cause Number,Deaths,Mild Injured,Seriously Injured,Victims,Vehicles Involved,Latitude,Longitude,Mult_Vic,Mult_Cars,Corner,Serious
2017S004615    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,LAS NAS DE TOLOSA,Tuesday,4,2017,5,May,25,14,Afternoon,Not pedestrian at fault,2,0,1,0,1,3,41.41821094480273,2.1863750746247663,No,Yes,No,No
2017S007775    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,INDÚSTRIA / TRINXANT,Wednesday,3,2017,9,September,20,12,Morning,Not pedestrian at fault,2,0,1,0,1,2,41.4179019144044,2.1841768035128677,No,Yes,Yes,No
2017S004484    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,INDÚSTRIA / TRINXANT,Saturday,6,2017,5,May,20,21,Afternoon,Not pedestrian at fault,2,0,1,0,1,2,41.4179019144044,2.1841768035128677,No,Yes,Yes,No
2017S010680    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,INDÚSTRIA,Thursday,2,2017,12,December,26,20,Afternoon,Not pedestrian at fault,2,0,2,0,2,1,41.41837366945728,2.1844483963536754,Yes,No,No,No
2017S005152    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,INDÚSTRIA,Monday,1,2017,6,June,12,15,Afternoon,Other,1,0,1,0,1,1,41.418785861963464,2.185021929729567,No,No,No,No
2017S003932    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,MARAGALL,Wednesday,3,2017,5,May,3,20,Afternoon,Not pedestrian at fault,2,0,1,0,1,1,41.415696289738335,2.181974351102382,No,No,No,No
2017S010348    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,INDÚSTRIA,Tuesday,4,2017,12,December,14,20,Afternoon,Not pedestrian at fault,2,0,1,0,1,2,41.41761747570188,2.1833920375177427,No,Yes,No,No
2017S000245    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,MARAGALL / ST ANTONI M CLARET,Wednesday,3,2017,1,January,11,7,Morning,Not pedestrian at fault,2,0,1,0,1,2,41.416585897818706,2.182903947198222,No,Yes,Yes,No
2017S005695    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,GUINARDÓ / SANT ANTONI MARIA CLARET,Friday,5,2017,6,June,30,12,Morning,Not pedestrian at fault,2,0,1,0,1,2,41.418256665130585,2.1825830131526054,No,Yes,Yes,No
2017S007384    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,SANT ANTONI MARIA CLARET,Monday,1,2017,9,September,4,16,Afternoon,Not pedestrian at fault,2,0,0,1,1,2,41.41421903495082,2.177195455244353,No,Yes,No,Yes
2017S008080    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,SANT ANTONI MARIA CLARET,Saturday,6,2017,9,September,30,19,Afternoon,Not pedestrian at fault,2,0,1,0,1,2,41.41421903495082,2.177195455244353,No,Yes,No,No
2017S003439    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,CÒRSEGA / CÒRSEGA,Monday,1,2017,4,April,17,14,Afternoon,Not pedestrian at fault,2,0,1,0,1,2,41.412659928869274,2.1792758918500477,No,Yes,Yes,No
2017S002410    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,CÒRSEGA / DOS DE MAIG,Saturday,6,2017,3,March,25,14,Afternoon,Not pedestrian at fault,2,0,4,0,4,2,41.41375836760327,2.1806628512943513,Yes,Yes,Yes,No
2017S009296    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,INDÚSTRIA,Tuesday,4,2017,11,November,9,22,Night,Disobeying the stop light,3,0,1,0,1,1,41.41329129471189,2.177842160826677,No,No,No,No
2017S010102    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,INDEPENDÈNCIA / ROSSELLÓ,Monday,1,2017,12,December,4,0,Night,Not pedestrian at fault,2,0,2,0,2,2,41.41192161437384,2.1812140686907036,Yes,Yes,Yes,No
2017S002158    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,VALÈNCIA,Friday,5,2017,3,March,17,16,Afternoon,Not pedestrian at fault,2,0,1,0,1,2,41.41065465062217,2.185710917127707,No,Yes,No,No
2017S007606    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,VALÈNCIA,Tuesday,4,2017,9,September,14,14,Afternoon,Not pedestrian at fault,2,0,1,0,1,2,41.40935176569757,2.1843442024626643,No,Yes,No,No
2017S007805    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,INDEPENDÈNCIA / VALÈNCIA,Wednesday,3,2017,9,September,20,20,Afternoon,Not pedestrian at fault,2,0,0,1,1,2,41.409838943275716,2.1845677104321246,No,Yes,Yes,Yes
2017S008987    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,VALÈNCIA,Monday,1,2017,10,October,30,20,Afternoon,Not pedestrian at fault,2,0,1,0,1,2,41.40994762964971,2.185135032366919,No,Yes,No,No
2017S002244    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,ARAGÓ / CORUNYA,Monday,1,2017,3,March,20,19,Afternoon,Not pedestrian at fault,2,0,1,0,1,2,41.40923379268828,2.1859247587717254,No,Yes,Yes,No
2017S001012    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,MALLORCA,Thursday,2,2017,2,February,7,11,Morning,Not pedestrian at fault,2,0,1,0,1,1,41.411055536099425,2.1824033649485957,No,No,No,No
